"Title";"URL";"tag01";"tag02";"Tag03";"Tag04";"Tag05";"Tag06";"Tag07";"Tag08";"Tag09";"Tag10";"Tag11";"Tag12";"Tag13";"Tag14";"Tag15";"Tag16";"Tag17";"Tag18";"Tag19";"Tag20"
"globalrevolution.tv ";"http://globalrevolution.tv/feed ";"media";"video";;;;;;;;;;;;;;;;;;
"Occupation Media Services Newswire ";"http://www.facebook.com/feeds/page.php?id=237685532953209&format=rss20 ";"";;;;;;;;;;;;;;;;;;;
"Published articles from reader.occupy.net ";"http://reader.occupy.net//public.php?op=rss&id=-2&key=8e82f8c9c0a344affdb9a665a14a4093c425845a ";"street.net ";;;;;;;;;;;;;;;;;;;
"The Independent ";"http://rss.feedsportal.com/c/266/f/3503/index.rss ";"mainstream";"mainstream media ";;;;;;;;;;;;;;;;;;
